"Date","Price","Open","High","Low","Vol.","Change %"
"04/10/2024","1,163,561","1,133,159","1,170,253","1,110,374","","2.70%"
"04/09/2024","1,132,953","1,169,393","1,171,401","1,118,836","","-3.13%"
"04/08/2024","1,169,562","1,142,244","1,196,663","1,138,539","","2.39%"
"04/07/2024","1,142,212","1,133,542","1,156,590","1,132,966","","0.76%"
"04/06/2024","1,133,541","1,115,958","1,146,191","1,109,991","","1.59%"
"04/05/2024","1,115,823","1,135,011","1,138,242","1,090,088","","-1.68%"
"04/04/2024","1,134,877","1,091,144","1,146,650","1,076,876","","4.03%"
"04/03/2024","1,090,915","1,083,983","1,107,051","1,070,061","","0.66%"
"04/02/2024","1,083,729","1,158,071","1,158,415","1,071,570","","-6.44%"
"04/01/2024","1,158,301","1,180,222","1,180,222","1,136,102","","-1.97%"
"03/31/2024","1,181,604","1,153,381","1,181,604","1,153,347","","2.45%"
"03/30/2024","1,153,381","1,157,684","1,164,991","1,152,511","","-0.37%"
"03/29/2024","1,157,684","1,175,378","1,178,950","1,144,936","","-1.46%"
"03/28/2024","1,174,802","1,150,150","1,187,145","1,141,904","","2.06%"
"03/27/2024","1,151,141","1,165,234","1,188,278","1,132,224","","-1.19%"
"03/26/2024","1,164,964","1,166,219","1,193,233","1,156,558","","-0.18%"
"03/25/2024","1,167,012","1,126,576","1,186,296","1,110,674","","3.57%"
"03/24/2024","1,126,788","1,073,244","1,132,666","1,069,382","","5.01%"
"03/23/2024","1,073,069","1,068,846","1,105,565","1,057,432","","0.41%"
"03/22/2024","1,068,721","1,096,606","1,117,199","1,044,600","","-2.55%"
"03/21/2024","1,096,646","1,131,867","1,136,808","1,083,091","","-3.18%"
"03/20/2024","1,132,673","1,040,456","1,135,069","1,022,225","","8.75%"
"03/19/2024","1,041,507","1,137,333","1,146,383","1,035,158","","-8.38%"
"03/18/2024","1,136,814","1,143,816","1,151,751","1,117,710","","-0.63%"
"03/17/2024","1,144,039","1,091,925","1,151,616","1,081,441","","4.73%"
"03/16/2024","1,092,416","1,161,340","1,170,757","1,086,648","","-5.81%"
"03/15/2024","1,159,787","1,192,434","1,210,319","1,100,899","","-2.78%"
"03/14/2024","1,192,939","1,218,093","1,230,324","1,147,125","","-2.05%"
"03/13/2024","1,217,850","1,200,764","1,235,254","1,198,776","","1.43%"
"03/12/2024","1,200,630","1,211,074","1,227,262","1,164,442","","-0.89%"
"03/11/2024","1,211,447","1,158,783","1,222,280","1,136,981","","4.54%"
"03/10/2024","1,158,801","1,148,619","1,174,829","1,145,762","","0.84%"
"03/09/2024","1,149,094","1,145,408","1,152,189","1,141,158","","0.29%"
"03/08/2024","1,145,826","1,127,638","1,170,638","1,114,777","","1.61%"
"03/07/2024","1,127,631","1,115,348","1,148,385","1,107,057","","1.11%"
"03/06/2024","1,115,232","1,081,200","1,143,355","1,064,271","","3.28%"
"03/05/2024","1,079,835","1,157,163","1,166,042","1,016,919","","-6.72%"
"03/04/2024","1,157,662","1,073,156","1,161,493","1,069,854","","7.80%"
"03/03/2024","1,073,877","1,054,496","1,076,310","1,045,128","","1.84%"
"03/02/2024","1,054,496","1,061,285","1,062,100","1,047,976","","-0.68%"
"03/01/2024","1,061,761","1,042,996","1,073,968","1,036,406","","1.74%"
"02/29/2024","1,043,600","1,067,784","1,087,262","1,032,099","","-2.26%"
"02/28/2024","1,067,676","973,647","1,092,040","967,962","","9.65%"
"02/27/2024","973,721","931,261","981,232","930,820","","4.54%"
"02/26/2024","931,445","885,388","938,169","870,965","","5.21%"
"02/25/2024","885,305","882,871","889,422","878,279","","0.28%"
"02/24/2024","882,871","868,737","884,975","866,158","","1.64%"
"02/23/2024","868,654","877,416","881,584","865,167","","-1.08%"
"02/22/2024","878,163","883,866","889,979","871,266","","-0.68%"
"02/21/2024","884,205","891,635","893,511","864,731","","-0.85%"
"02/20/2024","891,770","882,653","900,079","866,199","","1.02%"
"02/19/2024","882,805","888,458","894,419","880,976","","-0.63%"
"02/18/2024","888,372","880,703","892,991","873,290","","0.87%"
"02/17/2024","880,703","888,914","889,574","863,570","","-0.92%"
"02/16/2024","888,914","884,325","897,135","879,250","","0.52%"
"02/15/2024","884,327","885,205","902,118","874,599","","-0.04%"
"02/14/2024","884,665","854,995","890,518","847,017","","3.44%"
"02/13/2024","855,238","852,014","858,873","833,648","","0.31%"
"02/12/2024","852,611","824,797","857,916","814,240","","3.39%"
"02/11/2024","824,640","815,946","829,175","813,053","","1.06%"
"02/10/2024","815,957","805,138","822,714","800,559","","1.34%"
"02/09/2024","805,139","776,580","821,296","775,871","","3.69%"
"02/08/2024","776,523","756,595","782,191","756,324","","2.67%"
"02/07/2024","756,304","734,292","756,547","728,964","","3.00%"
"02/06/2024","734,277","731,337","739,638","728,705","","0.40%"
"02/05/2024","731,359","730,367","749,990","724,702","","0.11%"
"02/04/2024","730,522","737,380","739,250","725,894","","-0.93%"
"02/03/2024","737,373","740,694","743,706","735,263","","-0.45%"
"02/02/2024","740,694","735,952","744,743","729,533","","0.66%"
"02/01/2024","735,850","733,341","739,314","720,993","","0.33%"
"01/31/2024","733,421","736,420","750,991","725,442","","-0.46%"
"01/30/2024","736,797","745,781","753,551","732,685","","-1.18%"
"01/29/2024","745,605","721,808","747,515","718,585","","3.28%"
"01/28/2024","721,953","722,697","734,685","715,303","","-0.10%"
"01/27/2024","722,697","717,412","723,887","711,156","","0.75%"
"01/26/2024","717,351","687,263","724,298","685,408","","4.35%"
"01/25/2024","687,415","690,931","694,526","680,957","","-0.50%"
"01/24/2024","690,877","690,324","698,540","680,991","","0.11%"
"01/23/2024","690,121","680,251","690,593","666,753","","1.49%"
"01/22/2024","679,981","710,886","712,229","678,800","","-4.34%"
"01/21/2024","710,866","712,289","716,025","709,367","","-0.20%"
"01/20/2024","712,289","711,657","715,046","708,194","","0.11%"
"01/19/2024","711,521","708,960","721,195","690,140","","0.34%"
"01/18/2024","709,094","736,106","737,840","699,534","","-3.69%"
"01/17/2024","736,224","742,512","744,825","729,554","","-0.90%"
"01/16/2024","742,917","718,575","750,022","718,029","","3.42%"
"01/15/2024","718,361","704,486","732,533","703,975","","1.81%"
"01/14/2024","705,566","722,607","726,401","704,405","","-2.34%"
"01/13/2024","722,476","722,438","729,361","715,828","","-0.04%"
"01/12/2024","722,774","783,376","786,159","706,652","","-7.76%"
"01/11/2024","783,600","792,152","831,162","775,434","","-1.03%"
"01/10/2024","791,786","782,452","808,936","754,195","","1.13%"
"01/09/2024","782,931","790,507","812,044","770,113","","-0.95%"
"01/08/2024","790,401","741,794","794,325","730,792","","6.57%"
"01/07/2024","741,648","742,228","750,969","736,726","","-0.06%"
"01/06/2024","742,103","745,315","746,168","732,765","","-0.37%"
"01/05/2024","744,889","751,666","754,863","723,022","","-0.88%"
"01/04/2024","751,493","728,440","761,053","725,217","","3.12%"
"01/03/2024","728,733","766,179","775,045","696,969","","-4.79%"
"01/02/2024","765,416","749,552","780,529","749,055","","2.17%"
"01/01/2024","749,192","717,275","749,665","716,077","","4.40%"
"12/31/2023","717,616","715,290","728,195","712,443","","0.33%"
"12/30/2023","715,239","714,172","723,101","704,884","","0.12%"
"12/29/2023","714,361","722,233","728,361","703,038","","-1.10%"
"12/28/2023","722,342","735,149","740,762","714,150","","-1.74%"
"12/27/2023","735,147","722,411","739,179","715,599","","1.81%"
"12/26/2023","722,101","740,356","740,836","709,601","","-2.47%"
"12/25/2023","740,426","729,691","745,769","725,667","","1.45%"
"12/24/2023","729,827","741,949","745,761","725,671","","-1.63%"
"12/23/2023","741,931","746,271","746,717","735,429","","-0.58%"
"12/22/2023","746,271","747,166","756,745","736,254","","-0.12%"
"12/21/2023","747,185","748,307","754,973","740,052","","-0.11%"
"12/20/2023","748,006","721,835","755,209","720,776","","3.66%"
"12/19/2023","721,572","732,278","743,976","714,504","","-1.40%"
"12/18/2023","731,799","712,790","733,361","699,333","","2.63%"
"12/17/2023","713,075","727,509","729,578","711,360","","-1.98%"
"12/16/2023","727,509","721,508","734,684","717,864","","0.84%"
